"LGA","Crude_rate","IRSD","IRSAD","IER","IEO","log_IRSD","log_IER","log_IEO","log_Crude_rate"
"Menzies",NA,860,858,825,870,5.58724865840025,5.75890177387728,6.76849321164863,NA
"Mingenew",NA,1007,970,1028,943,4.78749174278205,4.7361984483945,6.84906628263346,NA
"Morawa",NA,943,929,945,932,5.21493575760899,5.28320372873799,6.83733281468559,NA
"Mount Magnet",NA,864,858,890,898,5.57215403217776,5.52942908751142,6.8001700683022,NA
"Mount Marshall",NA,980,973,986,990,4.99043258677874,5.04985600724954,6.89770494312864,NA
"Mukinbudin",NA,1025,996,1023,990,4.62497281328427,4.77912349311153,6.89770494312864,NA
"Murchison",NA,834,885,832,1013,5.68017260901707,5.73657229747919,6.92067150424868,NA
"Northampton",NA,954,923,983,892,5.15329159449778,5.06890420222023,6.79346613258001,NA
"Nungarin",NA,979,960,979,961,4.99721227376411,5.09375020080676,6.86797440897029,NA
"Perenjori",NA,1044,1023,1023,1031,4.4188406077966,4.77912349311153,6.93828448401696,NA
"Sandstone",NA,954,906,960,870,5.15329159449778,5.2040066870768,6.76849321164863,NA
"Shark Bay",NA,970,942,935,915,5.05624580534831,5.33271879326537,6.81892406527552,NA
"Three Springs",NA,963,947,964,955,5.0998664278242,5.18178355029209,6.86171134048073,NA
"Trayning",NA,909,896,920,952,5.38449506278909,5.40267738187228,6.85856503479136,NA
"Upper Gascoyne",NA,910,920,805,960,5.37989735354046,5.82008293035236,6.86693328446188,NA
"Westonia",NA,1030,1004,984,997,4.57471097850338,5.06259503302697,6.90475076996184,NA
"Wickepin",NA,994,967,1009,959,4.89034912822175,4.89034912822175,6.86589107488344,NA
"Wiluna",NA,773,821,741,954,5.86929691313377,5.99396142730657,6.86066367144829,NA
"Woodanilling",NA,1003,982,994,1015,4.82028156560504,4.99721227376411,6.92264389147589,NA
"Wyalkatchem",NA,899,898,902,942,5.42934562895444,5.48063892334199,6.84800527457636,NA
"Yalgoo",NA,900,870,870,853,5.4249500174814,5.605802066296,6.74875954749168,NA
"Central Highlands (Tas.)",NA,911,888,948,886,5.37527840768417,5.26785815906333,6.78671695060508,NA
"Derwent Valley",NA,913,879,950,856,5.36597601502185,5.25749537202778,6.75227037614174,NA
"King Island",NA,993,955,987,941,4.89783979995091,5.04342511691925,6.84694313958538,NA
"Belyuen",NA,471,662,475,801,6.48616078894409,6.50279004591562,6.68586094706836,NA
"Darwin Waterfront Precinct",NA,1117,1165,960,1174,2.30258509299405,5.2040066870768,7.06817200038804,NA
"Wagait",NA,985,970,955,1006,4.95582705760126,5.23110861685459,6.91373735065968,NA
