"LGA","Crude_rate","IRSD","IRSAD","IER","IEO","log_IRSD","log_IER","log_IEO","log_Crude_rate","status"
"Ararat",32.654996,955,932,964,934,5.14749447681345,5.18178355029209,6.83947643822884,3.48599786086189,"Actual"
"Ballarat",19.209723,986,965,971,978,4.94875989037817,5.14166355650266,6.88550967003482,2.95541655710336,"Actual"
"Banyule",18.881824,1058,1064,1030,1079,4.23410650459726,4.71849887129509,6.98378996525813,2.93819976622038,"Actual"
"Bass Coast",28.431407,993,957,992,962,4.89783979995091,5.01063529409626,6.86901445066571,3.3474944144137,"Actual"
"Baw Baw",24.359814,1003,971,1020,960,4.82028156560504,4.80402104473326,6.86693328446188,3.19293480734457,"Actual"
"Bayside (Vic.)",20.944903,1090,1127,1075,1137,3.61091791264422,4.20469261939097,7.03614849375054,3.04189532321138,"Actual"
"Benalla",40.680036,968,938,973,942,5.06890420222023,5.12989871492307,6.84800527457636,3.70573745613572,"Actual"
"Boroondara",12.428594,1090,1131,1054,1153,3.61091791264422,4.47733681447821,7.05012252026906,2.51999978568958,"Actual"
"Brimbank",22.936441,912,928,961,940,5.37063802812766,5.19849703126583,6.84587987526405,3.13272695581164,"Actual"
"Buloke",48.573557,975,946,966,958,5.02388052084628,5.17048399503815,6.86484777797086,3.88307928818304,"Actual"
"Campaspe",31.319025,965,932,980,921,5.08759633523238,5.08759633523238,6.82546003625531,3.44422574036985,"Actual"
"Cardinia",11.639969,1021,993,1044,975,4.66343909411207,4.58496747867057,6.88243747099785,2.4544447790695,"Actual"
"Casey",13.451716,995,986,1038,978,4.88280192258637,4.64439089914137,6.88550967003482,2.59910668155287,"Actual"
"Central Goldfields",46.272646,898,867,921,871,5.43372200355424,5.39816270151775,6.7696419768525,3.83455098736554,"Actual"
"Colac Otway",25.465248,973,938,984,925,5.03695260241363,5.06259503302697,6.82979373751242,3.2373146991464,"Actual"
"Corangamite",40.982887,985,955,998,948,4.95582705760126,4.969813299576,6.85435450225502,3.71315458932885,"Actual"
"Darebin",24.4269,1018,1044,969,1075,4.69134788222914,5.15329159449778,6.98007594056176,3.19568498405389,"Actual"
"East Gippsland",28.297414,963,931,970,932,5.0998664278242,5.14749447681345,6.83733281468559,3.34277042238209,"Actual"
"Frankston",19.672725,1003,982,1003,981,4.82028156560504,4.93447393313069,6.88857245956536,2.97923315864715,"Actual"
"Gannawarra",62.36369,952,919,964,912,5.16478597392351,5.18178355029209,6.81563999007433,4.13298321498545,"Actual"
"Glen Eira",18.637347,1075,1103,1027,1122,3.95124371858143,4.74493212836325,7.02286808608264,2.92516747080163,"Actual"
"Glenelg",48.11102,952,919,970,911,5.16478597392351,5.14749447681345,6.81454289725996,3.87351125690004,"Actual"
"Golden Plains",8.4213363,1040,997,1076,965,4.46590811865458,4.18965474202643,6.87212810133899,2.13076852112504,"Actual"
"Greater Bendigo",19.190353,985,959,984,964,4.95582705760126,5.06259503302697,6.87109129461055,2.95440770484782,"Actual"
"Greater Dandenong",23.063293,887,918,943,943,5.48063892334199,5.29330482472449,6.84906628263346,3.13824230603345,"Actual"
"Greater Geelong",23.171776,1007,990,997,993,4.78749174278205,4.97673374242057,6.90073066404517,3.14293498634836,"Actual"
"Greater Shepparton",24.704744,944,931,965,941,5.20948615284142,5.17614973257383,6.84694313958538,3.20699528996918,"Actual"
"Hepburn",29.741363,1006,984,1001,1008,4.79579054559674,4.94875989037817,6.91572344863131,3.39253877051309,"Actual"
"Hindmarsh",29.003161,940,923,959,932,5.23110861685459,5.20948615284142,6.83733281468559,3.36740482404641,"Actual"
"Hobsons Bay",21.397205,1021,1034,1003,1043,4.66343909411207,4.93447393313069,6.94985645500077,3.06326030602127,"Actual"
"Horsham",18.798616,990,959,974,955,4.91998092582813,5.12396397940326,6.86171134048073,2.93378325010476,"Actual"
"Hume",13.600518,941,949,1004,958,5.2257466737132,4.92725368515721,6.86484777797086,2.61010788025196,"Actual"
"Indigo",23.683744,1029,996,1031,993,4.58496747867057,4.70953020131233,6.90073066404517,3.16478890562614,"Actual"
"Kingston (Vic.)",20.069301,1044,1048,1026,1051,4.4188406077966,4.75359019110636,6.95749737087695,2.99919133410009,"Actual"
"Knox",14.681273,1042,1029,1041,1021,4.44265125649032,4.61512051684126,6.92853781816467,2.68657273604795,"Actual"
"Latrobe (Vic.)",33.471865,931,907,942,899,5.27811465923052,5.29831736654804,6.80128303447162,3.51070523521253,"Actual"
"Loddon",37.604249,948,925,966,942,5.18738580584075,5.17048399503815,6.84800527457636,3.62711704933038,"Actual"
"Macedon Ranges",13.182221,1063,1047,1077,1039,4.15888308335967,4.17438726989564,6.94601399109923,2.57886902777599,"Actual"
"Manningham",19.682968,1056,1075,1059,1080,4.26267987704132,4.4188406077966,6.98471632011827,2.9797536932611,"Actual"
"Mansfield",16.378313,1028,989,1023,982,4.59511985013459,4.77912349311153,6.88959130835447,2.79595808166795,"Actual"
"Maribyrnong",18.779385,1010,1045,963,1076,4.76217393479776,5.18738580584075,6.98100574072173,2.93275972564007,"Actual"
"Maroondah",15.583727,1041,1035,1030,1042,4.45434729625351,4.71849887129509,6.94889722231331,2.74622722877959,"Actual"
"Melbourne",4.7969224,1017,1086,838,1150,4.70048036579242,5.71702770140622,7.0475172213573,1.56797454561193,"Actual"
